temp,time_hours_interp,hanliang_log10,数据类型
4,310,4.529431710756413,原始实测
4,310.0833333333333,4.530551327006865,原始实测
4,310.16666666666663,4.531670943257319,原始实测
4,310.25,4.532790559507772,原始实测
4,310.3333333333333,4.5339101757582245,原始实测
4,310.41666666666663,4.535029792008677,原始实测
4,310.5,4.536149408259131,原始实测
4,310.5833333333333,4.537269024509584,原始实测
4,310.66666666666663,4.5383886407600365,原始实测
4,310.75,4.539508257010491,原始实测
4,310.8333333333333,4.540627873260943,原始实测
4,310.91666666666663,4.541747489511396,原始实测
4,311,4.542867105761849,原始实测
4,311.0833333333333,4.543986722012303,原始实测
4,311.16666666666663,4.545106338262755,原始实测
4,311.25,4.546225954513209,原始实测
4,311.3333333333333,4.547345570763662,原始实测
4,311.41666666666663,4.548465187014115,原始实测
4,311.5,4.549584803264568,原始实测
4,311.5833333333333,4.5507044195150215,原始实测
4,311.66666666666663,4.551824035765474,原始实测
4,311.75,4.552943652015927,原始实测
4,311.8333333333333,4.55406326826638,原始实测
4,311.91666666666663,4.555182884516833,原始实测
4,312,4.556302500767287,原始实测
15,0,0,原始实测
15,0.0833333333333333,0.0062714582429996,原始实测
15,0.1666666666666666,0.0125429164859992,原始实测
15,0.25,0.0188143747289988,原始实测
15,0.3333333333333333,0.0250858329719984,原始实测
15,0.4166666666666666,0.031357291214998,原始实测
15,0.5,0.0376287494579976,原始实测
15,0.5833333333333333,0.0439002077009972,原始实测
15,0.6666666666666666,0.0501716659439968,原始实测
15,0.75,0.0564431241869964,原始实测
15,0.8333333333333333,0.062714582429996,原始实测
15,0.9166666666666666,0.0689860406729956,原始实测
15,1,0.0752574989159953,原始实测
15,1.0833333333333333,0.0815289571589949,原始实测
15,1.1666666666666663,0.0878004154019945,原始实测
15,1.25,0.0940718736449941,原始实测
15,1.3333333333333333,0.1003433318879937,原始实测
15,1.4166666666666663,0.1066147901309933,原始实测
15,1.5,0.1128862483739929,原始实测
15,1.5833333333333333,0.1191577066169925,原始实测
15,1.6666666666666663,0.1254291648599921,原始实测
15,1.75,0.1317006231029917,原始实测
15,1.8333333333333333,0.1379720813459913,原始实测
15,1.9166666666666663,0.1442435395889909,原始实测
15,2,0.1505149978319906,原始实测
15,2.083333333333333,0.1567864560749901,原始实测
15,2.1666666666666665,0.1630579143179898,原始实测
15,2.25,0.1693293725609894,原始实测
15,2.333333333333333,0.175600830803989,原始实测
15,2.4166666666666665,0.1818722890469886,原始实测
15,2.5,0.1881437472899882,原始实测
15,2.583333333333333,0.1944152055329878,原始实测
15,2.6666666666666665,0.2006866637759874,原始实测
15,2.75,0.206958122018987,原始实测
15,2.833333333333333,0.2132295802619866,原始实测
15,2.9166666666666665,0.2195010385049862,原始实测
15,3,0.2257724967479858,原始实测
15,3.083333333333333,0.2320439549909854,原始实测
15,3.1666666666666665,0.2383154132339851,原始实测
15,3.25,0.2445868714769847,原始实测
15,3.333333333333333,0.2508583297199843,原始实测
15,3.4166666666666665,0.2571297879629839,原始实测
15,3.5,0.2634012462059835,原始实测
15,3.583333333333333,0.2696727044489831,原始实测
15,3.6666666666666665,0.2759441626919827,原始实测
15,3.75,0.2822156209349823,原始实测
15,3.833333333333333,0.2884870791779819,原始实测
15,3.9166666666666665,0.2947585374209815,原始实测
15,4,0.3010299956639812,原始实测
15,4.083333333333333,0.3066640894894452,原始实测
15,4.166666666666666,0.3122981833149091,原始实测
15,4.25,0.3179322771403732,原始实测
15,4.333333333333333,0.3235663709658372,原始实测
15,4.416666666666666,0.3292004647913012,原始实测
15,4.5,0.3348345586167652,原始实测
15,4.583333333333333,0.3404686524422292,原始实测
15,4.666666666666666,0.3461027462676932,原始实测
15,4.75,0.3517368400931573,原始实测
15,4.833333333333333,0.3573709339186213,原始实测
15,4.916666666666666,0.3630050277440853,原始实测
15,5,0.3686391215695493,原始实测
