temperature,time,concentration,type
7.0,15.639097744360901,614.013847552335,预测
7.0,15.93984962406015,637.2596300307198,预测
7.0,16.240601503759397,661.7033337082548,预测
7.0,16.541353383458645,687.4066908606266,预测
7.0,16.842105263157894,714.4346150020413,预测
7.0,17.142857142857142,742.8553648233618,预测
7.0,17.44360902255639,772.740716578422,预测
7.0,17.74436090225564,804.16614535389,预测
7.0,18.045112781954884,837.2110156804637,预测
7.0,18.345864661654133,871.9587819667829,预测
7.0,18.64661654135338,908.4971992622444,预测
7.0,18.94736842105263,946.9185448810139,预测
7.0,19.24812030075188,987.3198514469113,预测
7.0,19.548872180451127,1029.8031519477486,预测
7.0,19.849624060150376,1074.4757374179655,预测
7.0,20.150375939849624,1121.4504279003622,预测
7.0,20.451127819548873,1170.845857371219,预测
7.0,20.751879699248118,1222.7867733483629,预测
7.0,21.052631578947366,1277.4043519388629,预测
7.0,21.353383458646615,1334.8365291219525,预测
7.0,21.654135338345863,1395.2283491038615,预测
7.0,21.954887218045112,1458.7323306242856,预测
7.0,22.25563909774436,1525.5088521396144,预测
7.0,22.55639097744361,1595.726556855642,预测
7.0,22.857142857142854,1669.5627786327025,预测
7.0,23.157894736842103,1747.2039898387984,预测
7.0,23.45864661654135,1828.8462722817585,预测
7.0,23.7593984962406,1914.6958124097655,预测
7.0,24.06015037593985,2004.9694220308336,预测
7.0,24.360902255639097,2099.8950858663006,预测
7.0,24.661654135338345,2199.7125373211475,预测
7.0,24.962406015037594,2304.6738639252,预测
7.0,25.263157894736842,2415.0441439742804,预测
7.0,25.563909774436087,2531.1021159790334,预测
7.0,25.864661654135336,2653.1408826121287,预测
7.0,26.165413533834585,2781.468650931599,预测
7.0,26.466165413533833,2916.409510749682,预测
7.0,26.76691729323308,3058.304253112911,预测
7.0,27.06766917293233,3207.5112309604388,预测
7.0,27.36842105263158,3364.4072641341522,预测
7.0,27.669172932330824,3529.3885910260497,预测
7.0,27.969924812030072,3702.871869266278,预测
7.0,28.27067669172932,3885.295227978878,预测
7.0,28.57142857142857,4077.119374262708,预测
7.0,28.872180451127818,4278.828756691772,预测
7.0,29.172932330827066,4490.9327887733125,预测
7.0,29.473684210526315,4713.967135453411,预测
7.0,29.774436090225564,4948.495065918918,预测
7.0,30.075187969924812,5195.108876112132,预测
7.0,30.375939849624057,5454.431384550715,预测
7.0,30.676691729323306,5727.117505230085,预测
7.0,30.977443609022554,6013.855901580705,预测
7.0,31.278195488721803,6315.370725657056,预测
7.0,31.57894736842105,6632.423446950234,预测
7.0,31.8796992481203,6965.814775442648,预测
7.0,32.180451127819545,7316.386683761298,预测
7.0,32.48120300751879,7685.024533536098,预测
7.0,32.78195488721804,8072.6593113329345,预测
7.0,33.08270676691729,8480.269979808243,预测
7.0,33.38345864661654,8908.885950022011,预测
7.0,33.68421052631579,9359.589681153004,预测
7.0,33.984962406015036,9833.519414180917,预测
7.0,34.285714285714285,10331.872046439066,预测
7.0,34.58646616541353,10855.906154296135,预测
7.0,34.88721804511278,11406.945171600824,预测
7.0,35.18796992481203,11986.380731914958,预测
7.0,35.48872180451128,12595.676182975523,预测
7.0,35.78947368421053,13236.370282260079,预测
7.0,36.09022556390977,13910.081082987921,预测
7.0,36.39097744360902,14618.510020369753,预测
7.0,36.691729323308266,15363.446208424326,预测
7.0,36.992481203007515,16146.770958212008,预测
7.0,37.29323308270676,16970.462528895478,预测
